S-no,Agency,Date of announcement,State,Date of running,News Headings Short,News heading,Matching keyword,links,Relevancy
1,DOC,02-09-2023,Puerto Rico,3/30/2023,Biden-Harris Administration Announces Nearly $3 Million in an Internet for All Grant to Universidad ...more,Biden-Harris Administration Announces Nearly $3 Million in an Internet for All Grant to Universidad del Sagrado Corazón in Puerto Rico,internet,https://www.commerce.gov/news/press-releases/2023/02/biden-harris-administration-announces-nearly-3-million-internet-all,Relevant
2,DOC,1/30/2023,Others,3/30/2023,Biden-Harris Administration Announces More Than $33.5 Million in Internet for All Grants to 12 Minor...more,Biden-Harris Administration Announces More Than $33.5 Million in Internet for All Grants to 12 Minority-Serving Colleges and Universities,grant,https://www.commerce.gov/news/press-releases/2023/01/biden-harris-administration-announces-more-335-million-internet-all,Relevant
3,Broadband Money,3/21/2023,Arizona,3/30/2023,"How Common Sense Media deployed activism, media, and a key partnership to drive ACP Adoption in Ariz...more","How Common Sense Media deployed activism, media, and a key partnership to drive ACP Adoption in Arizona
Announcement
ACP
Arizona
March 21, 2023
A Common Sense Media pilot campaign in Phoenix, Arizona, quadrupled enrollment in the Affordable Connectivity Program to 8,500 households a month in a limited amount of time. Here's how they did it.
Broadband.money",broadband,https://broadband.money/blog-categories/announcement,Irrelevant
4,Broadband Money,02-02-2023,Others,3/30/2023,"What the FCC's New Broadband ‘Nutrition Labels’ Require
Broadband Data
February 02, 2023
Providers n...more","What the FCC's New Broadband ‘Nutrition Labels’ Require
Broadband Data
February 02, 2023
Providers need to inform new customers what they're receiving for their subscriptions. Here are the facts.
Broadband.money",broadband,https://broadband.money/blog-categories/broadband-data,Irrelevant
5,Broadband Money,1/25/2023,Washington,3/30/2023,"Report: Private Telcos Thwart WA Public Utilities’ Plans For Rural Broadband
Broadband Audit
Washing...more","Report: Private Telcos Thwart WA Public Utilities’ Plans For Rural Broadband
Broadband Audit
Washington
January 25, 2023
Residents of Elma in Washington State struggle to access the internet. Our broadband audit quantifies the town's lack of connectivity.
Broadband.money",internet,https://broadband.money/blog-categories/broadband-audit,Irrelevant
6,Broadband Money,1/20/2023,Michigan,3/30/2023,"Detroit mayor sounds alarm on rescue plan funds being clawed back
Cities
Broadband Data
Broadband Ma...more","Detroit mayor sounds alarm on rescue plan funds being clawed back
Cities
Broadband Data
Broadband Mapping
Michigan
January 20, 2023
Detroit's mayor warns his peers to mind the fallout from Feds' fight over the debt ceiling
Broadband.money",broadband,https://broadband.money/blog-categories/cities,Irrelevant
7,Broadband Money,1/17/2023,Others,3/30/2023,"Introducing: Where's the Funding?
Broadband Funding
Announcement
Event
January 17, 2023
If you're ap...more","Introducing: Where's the Funding?
Broadband Funding
Announcement
Event
January 17, 2023
If you're applying for an IIJA BEAD grant, you should attend our webinar new ""Where’s The Funding?"" series, hosted by Gary Bolton, President and CEO of the Fiber Broadband Association.
Jase Wilson",rural broadband,https://broadband.money/blog-categories/broadband-funding,Relevant
8,Broadband Money,01-05-2023,Others,3/30/2023,"FCC broadband data challenges particularly complicated for Tribal nations
January 05, 2023
Providing...more","FCC broadband data challenges particularly complicated for Tribal nations
January 05, 2023
Providing granular challenge data to the FCC, data the agency would legally own, raises concerns for some Tribal leaders.
Broadband.money",broadband,https://broadband.money/broadband-grant-expert/broadband-money,Irrelevant
9,Broadband Money,12/22/2022,Mississippi,3/30/2023,"Mississippi’s Broadband Director Sally Doty uses data, charm, and legwork to expose broadband inequi...more","Mississippi’s Broadband Director Sally Doty uses data, charm, and legwork to expose broadband inequities
Director Spotlight
Broadband Mapping
Mississippi
December 22, 2022
BEAM Director Sally Doty is using old fashioned charm and modern technology to get everyone in her state wired.
Broadband.money",broadband,https://broadband.money/blog-categories/director-spotlight,Irrelevant
10,Broadband Money,12/21/2022,California,3/30/2023,"California receives nearly $9M for BEAD funding and digital equity planning
BEAD
Broadband Funding
C...more","California receives nearly $9M for BEAD funding and digital equity planning
BEAD
Broadband Funding
California
December 21, 2022
California receives an additional $9 million for Broadband Equity, Access, and Deployment Program (BEAD) program grant funding and digital equity
Broadband.money",grant,https://broadband.money/blog-categories/bead,Relevant
